epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,2742.97,0.78613,0.56794,0.87446,0.32117,0.23176,0.26706,0.15828,1.79902,3.87584,0.92669,0.000880343,0.000880343,0.000880343
145,2756.64,0.85938,0.57356,0.81855,0.32134,0.23201,0.27551,0.14954,1.85234,4.04949,0.95753,0.000874842,0.000874842,0.000874842
146,2771.21,0.83591,0.61261,0.84961,0.33235,0.24853,0.2866,0.15101,1.84229,3.94722,0.98139,0.00086934,0.00086934,0.00086934
147,2785.41,0.82888,0.5588,0.89867,0.32827,0.25,0.30925,0.16073,1.80968,3.89134,0.97014,0.000863839,0.000863839,0.000863839
148,2799.62,0.99349,0.55826,0.86084,0.19551,1,0.31552,0.16653,1.68615,3.73096,0.93322,0.000858338,0.000858338,0.000858338
149,2813.84,0.82033,0.55629,0.82103,0.32724,0.25,0.28605,0.15962,1.64412,3.68004,0.90421,0.000852837,0.000852837,0.000852837
150,2828.2,0.7953,0.51886,0.83092,0.33118,0.24677,0.27934,0.16101,1.62558,3.85308,0.90032,0.000847336,0.000847336,0.000847336
151,2842.27,0.79834,0.54071,0.83471,0.32747,0.24121,0.29944,0.14731,1.7157,4.08194,0.91315,0.000841835,0.000841835,0.000841835
152,2856.54,0.76414,0.53478,0.83157,0.3258,0.2387,0.26975,0.1309,1.71827,4.11714,0.9183,0.000836334,0.000836334,0.000836334
153,2871.2,0.81997,0.58039,0.84949,0.32708,0.24062,0.25523,0.13243,1.60696,3.88943,0.91429,0.000830833,0.000830833,0.000830833
154,2885.62,0.77375,0.54526,0.81852,0.32627,0.23941,0.25233,0.14457,1.65179,3.7192,0.9252,0.000825332,0.000825332,0.000825332
155,2899.98,0.78785,0.54133,0.85311,0.19092,0.25,0.20778,0.12415,1.69834,3.76215,0.92631,0.000819831,0.000819831,0.000819831
156,2914.27,0.76626,0.5556,0.82844,0.17323,0.25,0.1897,0.11271,1.70361,4.00752,0.91905,0.000814329,0.000814329,0.000814329
157,2928.23,0.80592,0.54815,0.85167,0.15522,0.25,0.17616,0.10372,1.65047,4.18349,0.91558,0.000808828,0.000808828,0.000808828
158,2942.5,0.7658,0.55961,0.86154,0.14511,0.25,0.15553,0.09118,1.65045,4.31136,0.91029,0.000803327,0.000803327,0.000803327
159,2956.79,0.8355,0.54212,0.81864,0.14123,0.25,0.17067,0.10306,1.67024,4.33516,0.90418,0.000797826,0.000797826,0.000797826
160,2970.96,0.80258,0.57074,0.84408,0.15012,0.25,0.20041,0.13324,1.65182,4.24276,0.90224,0.000792325,0.000792325,0.000792325
161,2985.04,0.68562,0.52589,0.83675,0.28649,0.25,0.24551,0.16119,1.64342,4.05902,0.91062,0.000786824,0.000786824,0.000786824
162,2999.65,0.69165,0.51418,0.82405,0.32344,0.23516,0.24935,0.15147,1.6193,3.7287,0.92055,0.000781323,0.000781323,0.000781323
163,3013.9,0.712,0.547,0.81099,0.32437,0.23655,0.24,0.14978,1.63027,3.59408,0.93054,0.000775822,0.000775822,0.000775822
164,3028.1,0.66879,0.49439,0.86016,0.32451,0.23676,0.24,0.1529,1.61365,3.61037,0.92607,0.000770321,0.000770321,0.000770321
165,3042.29,0.82275,0.53693,0.82418,0.32143,0.23214,0.24312,0.16544,1.56636,3.72395,0.91018,0.00076482,0.00076482,0.00076482
166,3056.31,0.77649,0.49728,0.83006,0.1864,0.375,0.23553,0.152,1.55317,3.90664,0.895,0.000759318,0.000759318,0.000759318
167,3070.99,0.80695,0.56592,0.85298,0.08724,1,0.22583,0.14399,1.57629,4.01214,0.89621,0.000753817,0.000753817,0.000753817
168,3085.04,0.68959,0.49479,0.8277,0.24225,0.125,0.21448,0.13131,1.59537,4.1144,0.89486,0.000748316,0.000748316,0.000748316
169,3098.67,0.76071,0.53549,0.82934,0.10633,1,0.19589,0.11197,1.55871,4.21646,0.88268,0.000742815,0.000742815,0.000742815
170,3112.22,0.70692,0.56189,0.81582,0.11111,1,0.19369,0.11079,1.52865,4.35204,0.88404,0.000737314,0.000737314,0.000737314
171,3126.83,0.76352,0.50433,0.86244,0.11821,1,0.18187,0.09996,1.57149,4.38705,0.89608,0.000731813,0.000731813,0.000731813
172,3141.31,0.69782,0.51001,0.82124,0.12542,1,0.19847,0.10495,1.66559,4.32259,0.90967,0.000726312,0.000726312,0.000726312
